,Cycle_Index,Discharge Time (m),Min. Voltage Charg. (V),Charging time (m),Battery ID,yhat,resid
16,18,37.657666666666664,3.373,155.183,1,37.340583989255805,0.31708267741085905
17,19,37.61016666666667,3.3739999999999997,154.944,1,37.30047750719353,0.30968915947314457
18,20,37.54716666666666,3.3739999999999997,154.05966666666666,1,37.215720130890745,0.33144653577591754
19,21,37.51033333333333,3.3739999999999997,154.09216666666669,1,37.20063360012969,0.30969973320363664
20,22,37.47666666666667,3.375,154.13866666666667,1,37.182222474986695,0.2944441916799718
21,23,37.417500000000004,3.3739999999999997,153.59633333333335,1,37.127842397315476,0.2896576026845281
22,24,37.3755,3.3760000000000003,153.17700000000002,1,37.069643786622635,0.3058562133773677
23,25,37.326,3.377,152.9905,1,37.03352681852975,0.2924731814702497
24,26,37.28916666666667,3.377,153.02016666666665,1,37.01822498066559,0.2709416860010734
25,27,37.271,3.377,153.30499999999998,1,37.02231344720506,0.24868655279494334
26,28,37.23966666666667,3.378,152.93966666666665,1,36.9726068013688,0.26705986529787396
27,29,37.202666666666666,3.378,152.42633333333333,1,36.91604199044975,0.2866246762169169
28,30,37.17966666666667,3.377,152.288,1,36.8923621726573,0.2873044940093692
29,31,37.15266666666666,3.377,152.19266666666667,1,36.86756149200886,0.28510517465780083
30,32,37.12733333333333,3.378,152.38299999999998,1,36.86008036862964,0.26725296470369386
31,33,37.10633333333333,3.377,152.49433333333334,1,36.85537290615832,0.2509604271750092
32,34,37.06466666666667,3.378,152.22083333333333,1,36.812644743487574,0.2520219231790932
33,35,37.04366666666667,3.3789999999999996,151.87316666666666,1,36.76428060076484,0.279386065901825
34,36,37.017,3.378,151.869,1,36.75079620756084,0.26620379243916403
35,37,37.003166666666665,3.378,152.26933333333332,1,36.76366160483298,0.23950506183368248
36,38,36.973499999999994,3.3930000000000002,151.6843333333333,1,36.63582381911093,0.33767618088906204
37,39,36.948166666666665,3.3789999999999996,151.87066666666666,1,36.693865704369294,0.2543009622973713
38,40,36.91616666666666,3.6039999999999996,153.54633333333334,1,35.81624005418822,1.0999266124784413
39,41,36.99583333333333,3.6860000000000004,152.90683333333334,1,35.39023363316904,1.6055997001642908
40,42,37.041666666666664,3.3819999999999997,152.08599999999998,1,36.64439496022944,0.3972717064372233
41,43,37.008833333333335,3.3789999999999996,152.59533333333331,1,36.678708742730805,0.3301245906025301
42,44,36.95466666666667,3.3789999999999996,151.93233333333333,1,36.61077065071805,0.34389601594861574
43,45,36.910999999999994,3.3810000000000002,152.04683333333332,1,36.59313843127592,0.31786156872407645
44,46,36.854166666666664,3.3810000000000002,151.23433333333332,1,36.51383972329317,0.34032694337349767
45,47,36.84316666666667,3.3810000000000002,151.96716666666669,1,36.55197204237148,0.29119462429518705
46,48,36.809333333333335,3.3819999999999997,151.64266666666666,1,36.50536835184476,0.3039649814885763
47,49,36.781333333333336,3.3819999999999997,151.52966666666669,1,36.47922516808281,0.3021081652505231
48,50,36.719833333333334,3.383,151.39316666666667,1,36.44690773710364,0.27292559622969037
49,51,36.70883333333334,3.384,151.49116666666666,1,36.432410135187766,0.27642319814557226
50,52,36.672333333333334,3.386,151.49016666666665,1,36.406000985012966,0.26633234832036834
51,53,36.6365,3.385,151.12550000000002,1,36.36512192921913,0.2713780707808695
52,54,36.61666666666667,3.387,151.24366666666668,1,36.347768342498675,0.2688983241679921
53,55,36.599000000000004,3.387,151.32766666666666,1,36.336595334964734,0.2624046650352696
54,56,36.568666666666665,3.387,150.83283333333333,1,36.28143635277776,0.2872303138889052
55,57,36.54266666666667,3.388,150.824,1,36.25882040656226,0.2838462601044114
56,58,36.5125,3.387,150.4921666666667,1,36.22043638013975,0.29206361986025087
57,59,36.49166666666667,3.388,150.83183333333332,1,36.22430320760681,0.26736345905985814
58,60,36.469833333333334,3.389,150.9885,1,36.21426372923769,0.25556960409564056
59,61,36.4375,3.391,150.4625,1,36.14795943936894,0.2895405606310604
60,62,36.426,3.39,150.252,1,36.11879562300903,0.307204376990974
61,63,36.41866666666667,3.39,150.851,1,36.146757847746315,0.2719088189203518
62,64,36.31766666666667,3.625,151.16566666666668,1,35.12182414959227,1.1958425170743965
64,66,36.376,3.3810000000000002,157.65766666666664,1,36.65082899346849,-0.2748289934684891
65,67,36.376999999999995,3.395,151.91416666666666,1,36.13538142849875,0.24161857150124888
66,68,36.3355,3.3939999999999997,151.56533333333334,1,36.09570555945758,0.2397944405424255
67,69,36.289,3.3939999999999997,150.96966666666668,1,36.03288417742462,0.25611582257538146
68,70,36.252833333333335,3.395,151.0735,1,36.01882985483868,0.23400347849465675
69,71,36.224000000000004,3.398,151.34566666666666,1,36.00879037765467,0.21520962234533414
